,fea_title_word_nums,fea_title_num_nums,fea_title_chars_low_nums,fea_title_chars_upp_nums,fea_title_chars_punct_nums,fea_title_stop_nums,fea_body_word_nums,fea_body_num_nums,fea_body_chars_low_nums,fea_body_chars_upp_nums,fea_body_chars_punct_nums,fea_body_stop_nums,fea_word_nums,fea_body_word_density,fea_title_word_density,body_noun_count,body_verb_count,body_adj_count,body_adv_count,body_pron_count,fea_body_total_length,fea_title_total_length,fea_body_upp_vs_length,fea_title_upp_vs_length,fea_body_num_exclamation_marks,fea_body_num_question_marks,fea_body_num_unique_words,fea_body_words_vs_unique,fea_body_word_unique_percent,gulpease,reliability
0,14,0,61,7,2,6,296,8,1519,60,49,126,310,5.316498316498317,4.533333333333333,51,45,24,25,17,1950,86,0.03076923076923077,0.08139534883720931,0,2,194,0.6554054054054054,65.54054054054055,48.42567567567568,0
1,14,0,62,4,2,6,338,31,1682,63,74,110,352,5.147492625368732,4.4,63,43,31,33,10,2198,81,0.028662420382165606,0.04938271604938271,0,0,242,0.7159763313609467,71.59763313609467,49.414201183431956,0
2,12,0,75,3,2,3,347,10,1788,45,29,127,359,5.267241379310345,6.0,79,56,34,19,16,2257,95,0.01993797075764289,0.031578947368421054,0,0,255,0.7348703170028819,73.48703170028818,45.9164265129683,0
3,10,0,61,2,1,3,656,16,3277,85,117,243,666,5.117199391171994,5.7272727272727275,130,92,66,54,41,4188,76,0.02029608404966571,0.02631578947368421,5,6,423,0.6448170731707317,64.48170731707317,49.21341463414634,0
5,10,0,49,3,1,3,104,0,610,10,18,38,114,5.904761904761905,4.7272727272727275,24,17,14,4,4,742,62,0.013477088948787063,0.04838709677419355,0,0,81,0.7788461538461539,77.88461538461539,44.48076923076923,0
6,10,0,73,2,0,2,104,0,610,10,18,38,114,5.904761904761905,6.818181818181818,24,17,14,4,4,742,84,0.013477088948787063,0.023809523809523808,0,0,81,0.7788461538461539,77.88461538461539,44.48076923076923,0
7,13,2,55,6,2,2,405,29,1975,57,54,154,418,5.004926108374384,4.357142857142857,87,63,22,27,22,2550,78,0.02235294117647059,0.07692307692307693,0,1,269,0.6641975308641975,66.41975308641975,56.925925925925924,0
8,11,0,52,1,1,3,304,5,1528,21,37,124,315,5.078688524590164,4.416666666666667,79,39,31,25,17,1904,64,0.011029411764705883,0.015625,0,1,210,0.6907894736842105,69.07894736842105,49.5921052631579,0
9,22,4,95,9,2,7,504,75,2353,70,66,190,526,4.798019801980198,4.521739130434782,114,60,36,21,14,3081,132,0.022719896137617657,0.06818181818181818,0,0,312,0.6190476190476191,61.904761904761905,54.81349206349206,0
10,22,0,89,4,4,8,355,0,1894,31,46,140,377,5.407303370786517,4.043478260869565,85,55,36,16,18,2346,121,0.013213981244671782,0.03305785123966942,0,0,252,0.7098591549295775,70.98591549295774,48.71830985915493,0
11,10,0,47,7,2,2,354,3,1659,55,35,146,364,4.828169014084507,4.909090909090909,77,50,21,41,19,2118,65,0.025967894239848913,0.1076923076923077,0,0,215,0.6073446327683616,60.73446327683616,53.77401129943503,0
12,10,0,63,3,2,3,305,11,1515,64,49,108,315,5.160130718954249,6.0,60,44,18,21,12,1965,79,0.03256997455470738,0.0379746835443038,0,1,197,0.6459016393442623,64.59016393442623,46.57377049180328,0
15,13,2,50,8,2,3,557,36,2710,65,67,208,570,4.973118279569892,4.142857142857143,145,76,39,39,18,3449,75,0.018846042331110466,0.10666666666666667,0,1,372,0.6678635547576302,66.78635547576302,56.27109515260323,0
16,10,0,67,4,4,2,418,15,2036,59,52,137,428,5.0,6.454545454545454,91,64,34,33,21,2613,87,0.022579410639112132,0.04597701149425287,0,0,299,0.715311004784689,71.5311004784689,52.8755980861244,0
17,12,0,69,4,3,4,339,0,1775,46,36,123,351,5.355882352941176,5.615384615384615,66,55,33,19,16,2219,87,0.020730058584948176,0.04597701149425287,0,0,233,0.6873156342182891,68.73156342182891,49.88495575221239,0
18,11,0,68,5,2,2,268,18,1372,29,34,99,279,5.20817843866171,6.083333333333333,67,38,22,20,12,1744,88,0.016628440366972478,0.056818181818181816,2,0,181,0.6753731343283582,67.53731343283582,46.12686567164179,0
